형용사
감동받은
감사하는
걱정되는
겁먹은
겁에질린
게으른
격노한
격렬한
견딜수있는
결연한
경솔한
경쟁적인
고통스러운
공손한
과장된
관대한
관련없는
관심있는
괴로운
긍정적인
기분상한
기분좋은
기쁜
긴장한
깜짝놀란
꺾인
낙관적인
낙담한
내키지않는
냉담한
넌더리난
놀라운
뉘우치는
단호한
당황스러운
당황한
대단한
동정적인
마음넓은
만족스러운
멍청한
명랑한
명석한
몰래
무관심한
무력한
무례한
무모한
무서운
무심한
민감한
믿기어려운
믿을수있는
바보같은
배짱있는
부러워하는
부정적인
부주의한
불편한
비관적인
비판적인
비현실적인
사려깊은
성가신
성공적인
수상쩍은
수줍어하는
수치스러운
순진한
시기하는
신난
신랄한
신비스러운
실망한
싫증난
심각한
안도하는
안심하는
야망있는
어두운
엄격한
열광적인
열렬한
열성적인
염려하는
예민한
예의바른
외로운
용감한
우스꽝스러운
우울한
유망한
유머러스한
유쾌한
은밀히
의심하는
이기적인
인정있는
일치하는
자랑스러운
자랑하는
자신하는
자포자기하는
잠재력있는
정직한
조심성있는
존경스러운
좌절한
죄책감을느끼는
즐거운
즐기는
지능이높은
지루한
지혜로운
진심으로고마운
진지한
짜증난
참을성없는
참을성있는
창의적인
청렴한
초조한
충격받은
침울한
탐나는
탐욕스러운
패배한
편견을가진
폭력적인
호감가는
혼란스러운
화난
확신하는
후회하는
흥겨운
흥분된
희망찬
힘없는
